dataset,sampling_rate,device,GRU_pred,GRU_train,CNN_pred,CNN_train
IoT,15min,cuda:0,4.958392973255338e-05,1899.0770349502563,1.6088794888998206e-05,1263.960096359253
IoT,1h,cuda:0,3.515349494086372e-05,573.0514132976532,2.42206785413954e-05,356.12727427482605
IoT,5min,cuda:0,2.0663797362776827e-05,4107.071588754654,1.4201471628236377e-05,2517.567244529724
alibaba,15min,cuda:0,3.405592658303001e-05,477.13441705703735,2.969756270899917e-05,391.34871196746826
alibaba,1h,cuda:0,5.1208164380944296e-05,195.3628261089325,0.0001181415889574,213.3190197944641
alibaba,5min,cuda:0,5.285656867335685e-05,1480.2957599163055,0.0010315974553426,1056.1769745349884
avazu,15min,cuda:0,2.358395319718581e-05,756.2507424354553,1.811637328221248e-05,553.2116250991821
avazu,1h,cuda:0,3.4672873360770086e-05,254.3056538105011,2.849102020263672e-05,226.76493072509768
avazu,5min,cuda:0,2.964727486236186e-05,2693.7218232154846,1.5501357332060608e-05,2022.3287286758425
google,15min,cuda:0,3.10913285709676e-05,1705.229185819626,2.669455701870811e-05,1137.8184792995453
google,1h,cuda:0,5.561245812310113e-05,581.3023247718811,4.469023810492622e-05,430.61286973953247
google,5min,cuda:0,4.727505455332354e-05,4733.074438333511,1.4446589572370544e-05,4545.029878616333
horton,15min,cuda:0,4.9689778110437226e-05,1012.294379234314,1.7378623025459157e-05,780.6455223560333
horton,1h,cuda:0,5.549290141121286e-05,367.1787078380585,4.127768219494429e-05,260.86035108566284
horton,5min,cuda:0,2.0894463415499087e-05,3209.827688217163,1.896890225233855e-05,3213.047132730484
retailrocket,15min,cuda:0,2.196126447948732e-05,1534.462293624878,1.6456827558484162e-05,1185.9736154079435
retailrocket,1h,cuda:0,3.780523935953776e-05,419.6044235229492,2.3794174194335937e-05,373.7365050315857
retailrocket,5min,cuda:0,2.932863787186048e-05,4998.268738985062,2.0407054049909608e-05,3737.723963499069
taxi,15min,cuda:0,3.146411772083463e-05,1672.8740718364716,1.6657194294537094e-05,1271.6660661697388
taxi,1h,cuda:0,3.531508975558811e-05,400.4499411582947,4.71035639444987e-05,356.9402186870575
taxi,5min,cuda:0,2.9362725817467555e-05,4824.56196475029,1.437013799493963e-05,3445.3223645687103
wiki_de,15min,cuda:0,4.940734539840584e-05,1583.7518646717072,2.161285229157332e-05,1038.87286734581
wiki_de,1h,cuda:0,3.6138958401150175e-05,467.92225766181946,5.470646752251519e-05,463.3742475509644
wiki_de,5min,cuda:0,2.926676726538288e-05,4155.503004789352,1.449407624804284e-05,3499.409640073776
wiki_en,15min,cuda:0,3.0420070277187888e-05,1425.00861120224,2.042432675635131e-05,1145.2812294960022
wiki_en,1h,cuda:0,5.5596563551161026e-05,553.3672995567322,2.348158094618056e-05,369.9104132652282
wiki_en,5min,cuda:0,2.887800705334372e-05,4590.184466838837,1.4762050849347076e-05,3226.8936381340027
